Date : 2026-02-15 19:11:39
Directory : c:\Dev\quent\lib
Total : 74 files,  2977 codes, 218 comments, 506 blanks, all 3701 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Dev\quent\lib\features\auth\register\presentation\pages\verify_your_phone_number_page.dart                          | Dart     |         28 |          0 |          4 |         32 |
| c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\country_search_bar_suggestions.dart                 | Dart     |        151 |          1 |         18 |        170 |
| c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\location_search_bar_suggetions.dart                 | Dart     |        145 |          1 |         16 |        162 |
| c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\sign_up_page_body.dart                              | Dart     |        153 |         21 |         10 |        184 |
| c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\verification_code_page_body.dart                    | Dart     |         57 |          8 |          6 |         71 |
| c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\verify_your_phone_number_page_body.dart             | Dart     |        100 |         18 |         11 |        129 |
| c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\yes_no_choice.dart                                  | Dart     |        170 |          0 |         11 |        181 |
| c:\Dev\quent\lib\features\on_boarding\presentation\pages\on_boarding_page.dart                                         | Dart     |         10 |          0 |          4 |         14 |
| c:\Dev\quent\lib\features\on_boarding\presentation\pages\widgets\on_boarding_page_body.dart                            | Dart     |         91 |          1 |          9 |        101 |
| c:\Dev\quent\lib\features\on_boarding\presentation\pages\widgets\on_boarding_page_view.dart                            | Dart     |         30 |          2 |          4 |         36 |
| c:\Dev\quent\lib\features\on_boarding\presentation\pages\widgets\page_view_item.dart                                   | Dart     |         91 |          0 |          8 |         99 |
| c:\Dev\quent\lib\generated\assets.gen.dart                                                                             | Dart     |        208 |         61 |         70 |        339 |
| c:\Dev\quent\lib\generated\fonts.gen.dart                                                                              | Dart     |          4 |          9 |          4 |         17 |
| c:\Dev\quent\lib\main.dart                                                                                             | Dart     |         32 |         10 |          9 |         51 |
| Total                                                                                                                  |          |      2,977 |        218 |        506 |      3,701 |
+------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
