"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev\quent\lib\core\components\forms\custom_text_form_field.dart", "Dart", 9, 0, 0, 9
"c:\Dev\quent\lib\core\helpers\on_generate_route.dart", "Dart", 3, 0, 1, 4
"c:\Dev\quent\lib\features\auth\register\data\data_sources\register_remote_data_source.dart", "Dart", 1, 0, 0, 1
"c:\Dev\quent\lib\features\auth\register\data\repos\register_repo_impl.dart", "Dart", 20, 0, 1, 21
"c:\Dev\quent\lib\features\auth\register\domain\repos\register_repo.dart", "Dart", 5, 0, 1, 6
"c:\Dev\quent\lib\features\auth\register\presentation\manager\cubits\sign_up\sign_up_cubit.dart", "Dart", 1, 0, 0, 1
"c:\Dev\quent\lib\features\auth\register\presentation\manager\cubits\verify_phone_number\verify_phone_number_cubit.dart", "Dart", 24, 0, 3, 27
"c:\Dev\quent\lib\features\auth\register\presentation\manager\cubits\verify_phone_number\verify_phone_number_state.dart", "Dart", -1, 0, -1, -2
"c:\Dev\quent\lib\features\auth\register\presentation\pages\verification_code_page.dart", "Dart", 3, 0, 0, 3
"c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\sign_up_page_body.dart", "Dart", 14, 0, 3, 17
"c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\verification_code_page_body.dart", "Dart", 8, -8, -1, -1
"c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\verification_code_page_body_bloc_consumer.dart", "Dart", 2, -1, 0, 1
"c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\verify_your_phone_number_page_body.dart", "Dart", 5, -4, 0, 1
"c:\Dev\quent\lib\features\auth\register\presentation\pages\widgets\verify_your_phone_number_page_body_consumer.dart", "Dart", 0, 0, -2, -2
"c:\Dev\quent\lib\features\main\home\presentation\pages\home_page.dart", "Dart", 10, 0, 4, 14
"c:\Dev\quent\lib\features\main\home\presentation\pages\widgets\home_page_body.dart", "Dart", 19, 0, 3, 22
"Total", "-", 123, -13, 12, 122
