"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev\quent\lib\core\components\buttons\custom_button.dart", "Dart", 41, 0, 4, 45
"c:\Dev\quent\lib\core\components\buttons\social_login_button.dart", "Dart", 50, 0, 4, 54
"c:\Dev\quent\lib\core\components\forms\CustomOtpTextFormField.dart", "Dart", 56, 0, 5, 61
"c:\Dev\quent\lib\core\components\forms\custom_text_form_field.dart", "Dart", 49, 0, 5, 54
"c:\Dev\quent\lib\core\components\forms\otp_form.dart", "Dart", 49, 0, 8, 57
"c:\Dev\quent\lib\core\components\forms\password_field.dart", "Dart", 38, 1, 6, 45
"c:\Dev\quent\lib\core\cubit\otp_cubit\otp_cubit.dart", "Dart", 13, 0, 6, 19
"c:\Dev\quent\lib\core\cubit\otp_cubit\otp_state.dart", "Dart", 5, 0, 4, 9
"c:\Dev\quent\lib\core\entities\country_entity.dart", "Dart", 10, 0, 2, 12
"c:\Dev\quent\lib\core\entities\full_user_entity.dart", "Dart", 7, 0, 3, 10
"c:\Dev\quent\lib\core\entities\location_entity.dart", "Dart", 12, 0, 2, 14
"c:\Dev\quent\lib\core\entities\token_entity.dart", "Dart", 5, 0, 2, 7
"c:\Dev\quent\lib\core\entities\user_entity.dart", "Dart", 20, 0, 3, 23
"c:\Dev\quent\lib\core\errors\faluire.dart", "Dart", 59, 0, 10, 69
"c:\Dev\quent\lib\core\helpers\on_generate_route.dart", "Dart", 42, 0, 6, 48
"c:\Dev\quent\lib\core\models\country_model.dart", "Dart", 13, 0, 3, 16
"c:\Dev\quent\lib\core\models\full_user_model.dart", "Dart", 12, 0, 3, 15
"c:\Dev\quent\lib\core\models\location_model.dart", "Dart", 15, 0, 3, 18
"c:\Dev\quent\lib\core\models\token_model.dart", "Dart", 7, 0, 3, 10
"c:\Dev\quent\lib\core\models\user_model.dart", "Dart", 25, 0, 3, 28
"c:\Dev\quent\lib\core\resources\app_styles.dart", "Dart", 51, 7, 11, 69
"c:\Dev\quent\lib\core\services\custom_bloc_observer.dart", "Dart", 19, 0, 4, 23
"c:\Dev\quent\lib\core\services\get_it_service.dart", "Dart", 23, 1, 4, 28
"c:\Dev\quent\lib\core\services\shared_preferences_singleton.dart", "Dart", 19, 0, 7, 26
"c:\Dev\quent\lib\core\use_cases\use_cases.dart", "Dart", 6, 0, 4, 10
"c:\Dev\quent\lib\core\utils\api_service.dart", "Dart", 24, 0, 6, 30
"c:\Dev\quent\lib\core\utils\size_config.dart", "Dart", 10, 0, 4, 14
"c:\Dev\quent\lib\features\auth\login\domain\entities\request_password_reset_code_entity.dart", "Dart", 8, 0, 2, 10
"c:\Dev\quent\lib\features\auth\login\domain\entities\request_verify_phone_entity.dart", "Dart", 10, 0, 2, 12
"c:\Dev\quent\lib\features\auth\login\domain\entities\reset_password_entity.dart", "Dart", 4, 0, 2, 6
"c:\Dev\quent\lib\features\auth\login\presentation\pages\sign_in_page.dart", "Dart", 10, 0, 4, 14
"c:\Dev\quent\lib\features\auth\login\presentation\pages\widgets\custom_check_box.dart", "Dart", 41, 0, 5, 46
"c:\Dev\quent\lib\features\auth\login\presentation\pages\widgets\dont_have_an_account.dart", "Dart", 43, 0, 4, 47
"c:\Dev\quent\lib\features\auth\login\presentation\pages\widgets\forgot_password.dart", "Dart", 45, 1, 7, 53
"c:\Dev\quent\lib\features\auth\login\presentation\pages\widgets\have_an_account.dart", "Dart", 42, 0, 4, 46
"c:\Dev\quent\lib\features\auth\login\presentation\pages\widgets\or_divider.dart", "Dart", 23, 0, 3, 26
"c:\Dev\quent\lib\features\auth\login\presentation\pages\widgets\sign_in_page_body.dart", "Dart", 92, 0, 6, 98
"c:\Dev\quent\lib\features\auth\passwords\presentation\manager\cubits\reset_password\reset_password_cubit.dart", "Dart", 25, 28, 11, 64
"c:\Dev\quent\lib\features\auth\passwords\presentation\manager\cubits\reset_password\reset_password_state.dart", "Dart", 18, 0, 11, 29
"c:\Dev\quent\lib\features\auth\passwords\presentation\pages\new_passwrod_page.dart", "Dart", 10, 0, 4, 14
"c:\Dev\quent\lib\features\auth\passwords\presentation\pages\request_reset_password_page.dart", "Dart", 19, 0, 5, 24
